LOG DATA COMP3008 PROJECT 2,,,,,
,,,,,
Time, UserID, System, Action, Event,
2017-04-03 11:50, User009, Facebook, next round, success,
2017-04-03 11:50, User009, Email, generate n.1, success,
2017-04-03 11:50, User009, Email, generate n.2, success,
2017-04-03 11:50, User009, Email, generate n.3, success,
2017-04-03 11:50, User009, Email, save, success,
2017-04-03 11:50, User009, Email, emoji clicked, success,
2017-04-03 11:50, User009, Email, emoji clicked, success,
2017-04-03 11:50, User009, Email, emoji clicked, success,
2017-04-03 11:50, User009, Email, emoji clicked, success,
2017-04-03 11:50, User009, Email, emoji clicked, success,
2017-04-03 11:50, User009, Email, emoji clicked, success,
2017-04-03 11:50, User009, Email, submit password, success,
2017-04-03 11:50, User009, Email, submit password attempt #1, error,
2017-04-03 11:50, User009, Email, submit password attempt #2, error,
2017-04-03 11:50, User009, Email, submit password attempt #3, error,
2017-04-03 11:50, User009, Email, submit password attempt #4, error,
2017-04-03 11:50, User009, Email, submit password attempt #5, error,
2017-04-03 11:50, User009, Email, submit password attempt #6, error,
2017-04-03 11:50, User009, Email, next round, success,
2017-04-03 11:50, User009, Bank Account, generate n.1, success,
2017-04-03 11:50, User009, Bank Account, generate n.2, success,
2017-04-03 11:50, User009, Bank Account, generate n.3, success,
2017-04-03 11:50, User009, Bank Account, generate n.4, success,
2017-04-03 11:50, User009, Bank Account, generate n.5, success,
2017-04-03 11:50, User009, Bank Account, generate n.6, success,
2017-04-03 11:50, User009, Bank Account, generate n.7, success,
2017-04-03 11:50, User009, Bank Account, generate n.8, success,
2017-04-03 11:50, User009, Bank Account, generate n.9, success,
2017-04-03 11:50, User009, Bank Account, generate n.10, success,
2017-04-03 11:50, User009, Bank Account, generate n.11, success,
2017-04-03 11:50, User009, Bank Account, generate n.12, success,
2017-04-03 11:50, User009, Bank Account, generate n.13, success,
2017-04-03 11:50, User009, Bank Account, generate n.14, success,
2017-04-03 11:50, User009, Bank Account, generate n.15, success,
2017-04-03 11:50, User009, Bank Account, save, success,
2017-04-03 11:50, User009, Bank Account, emoji clicked, success,
2017-04-03 11:50, User009, Bank Account, emoji clicked, success,
2017-04-03 11:50, User009, Bank Account, emoji clicked, success,
2017-04-03 11:50, User009, Bank Account, emoji clicked, success,
2017-04-03 11:50, User009, Bank Account, emoji clicked, success,
2017-04-03 11:50, User009, Bank Account, emoji clicked, success,
2017-04-03 11:50, User009, Bank Account, submit password, success,
2017-04-03 11:50, User009, Bank Account, next round, success,
2017-04-03 11:50, User009, general, retest button clicked, success,
2017-04-03 11:50, User009, Bank Account (retest), emoji clicked, success,
2017-04-03 11:50, User009, Bank Account (retest), emoji clicked, success,
2017-04-03 11:51, User009, Bank Account (retest), emoji clicked, success,
2017-04-03 11:51, User009, Bank Account (retest), emoji clicked, success,
2017-04-03 11:51, User009, Bank Account (retest), emoji clicked, success,
2017-04-03 11:51, User009, Bank Account (retest), emoji clicked, success,
2017-04-03 11:51, User009, Bank Account (retest), submit password, success,
2017-04-03 11:51, User009, Email (retest), emoji clicked, success,
2017-04-03 11:51, User009, Email (retest), emoji clicked, success,
2017-04-03 11:51, User009, Email (retest), emoji clicked, success,
2017-04-03 11:51, User009, Email (retest), emoji clicked, success,
2017-04-03 11:51, User009, Email (retest), emoji clicked, success,
2017-04-03 11:51, User009, Email (retest), emoji clicked, success,
2017-04-03 11:51, User009, Email (retest), submit password, success,
2017-04-03 11:51, User009, Facebook (retest), emoji clicked, success,
2017-04-03 11:51, User009, Facebook (retest), deleter char, success,
2017-04-03 11:52, User009, Facebook (retest), emoji clicked, success,
2017-04-03 11:52, User009, Facebook (retest), emoji clicked, success,
2017-04-03 11:52, User009, Facebook (retest), emoji clicked, success,
2017-04-03 11:52, User009, Facebook (retest), emoji clicked, success,
2017-04-03 11:52, User009, Facebook (retest), emoji clicked, success,
2017-04-03 11:52, User009, Facebook (retest), emoji clicked, success,
2017-04-03 11:52, User009, Facebook (retest), submit password attempt #1, error,
2017-04-03 11:52, User009, Facebook (retest), submit password attempt #2, error,
2017-04-03 11:52, User009, Facebook (retest), submit password attempt #3, error,
2017-04-03 11:52, User009, Facebook (retest), submit password attempt #4, error,
2017-04-03 11:52, User009, Facebook (retest), submit password attempt #5, error,
2017-04-03 11:52, User009, Facebook (retest), skip round, failed,
2017-04-03 11:52, User009, general, simulation complete, success,
2017-04-03 11:53, User076, Facebook, generate n.1, success,
2017-04-03 11:53, User076, Facebook, generate n.2, success,
2017-04-03 11:53, User076, Facebook, generate n.3, success,
2017-04-03 11:53, User076, Facebook, generate n.4, success,
2017-04-03 11:53, User076, Facebook, generate n.5, success,
2017-04-03 11:53, User076, Facebook, generate n.6, success,
2017-04-03 11:53, User076, Facebook, generate n.7, success,
2017-04-03 11:53, User076, Facebook, generate n.8, success,
2017-04-03 11:53, User076, Facebook, generate n.9, success,
2017-04-03 11:53, User076, Facebook, generate n.10, success,
2017-04-03 11:53, User076, Facebook, generate n.11, success,
2017-04-03 11:53, User076, Facebook, generate n.12, success,
2017-04-03 11:53, User076, Facebook, save, success,
2017-04-03 11:53, User076, Facebook, emoji clicked, success,
2017-04-03 11:53, User076, Facebook, emoji clicked, success,
2017-04-03 11:53, User076, Facebook, emoji clicked, success,
2017-04-03 11:53, User076, Facebook, emoji clicked, success,
2017-04-03 11:53, User076, Facebook, emoji clicked, success,
2017-04-03 11:53, User076, Facebook, emoji clicked, success,
2017-04-03 11:54, User076, Facebook, submit password attempt #1, error,
2017-04-03 11:54, User076, Facebook, submit password attempt #2, error,
2017-04-03 11:54, User076, Facebook, submit password attempt #3, error,
2017-04-03 11:54, User076, Facebook, submit password attempt #4, error,
2017-04-03 11:54, User076, Facebook, submit password attempt #5, error,
2017-04-03 11:54, User076, Facebook, submit password attempt #6, error,
2017-04-03 11:54, User076, Facebook, emoji clicked, success,
2017-04-03 11:54, User076, Facebook, emoji clicked, success,
2017-04-03 11:54, User076, Facebook, emoji clicked, success,
2017-04-03 11:54, User076, Facebook, emoji clicked, success,
2017-04-03 11:54, User076, Facebook, emoji clicked, success,
2017-04-03 11:54, User076, Facebook, emoji clicked, success,
2017-04-03 11:54, User076, Facebook, submit password, success,
2017-04-03 11:54, User076, Facebook, next round, success,
2017-04-03 11:54, User076, Email, generate n.1, success,
2017-04-03 11:54, User076, Email, save, success,
2017-04-03 11:54, User076, Email, emoji clicked, success,
2017-04-03 11:54, User076, Email, emoji clicked, success,
2017-04-03 11:54, User076, Email, emoji clicked, success,
2017-04-03 11:54, User076, Email, emoji clicked, success,
2017-04-03 11:54, User076, Email, emoji clicked, success,
2017-04-03 11:54, User076, Email, emoji clicked, success,
2017-04-03 11:54, User076, Email, submit password attempt #1, error,
2017-04-03 11:54, User076, Email, submit password attempt #2, error,
2017-04-03 11:54, User076, Email, submit password attempt #3, error,
2017-04-03 11:54, User076, Email, submit password attempt #4, error,
2017-04-03 11:54, User076, Email, skip round, error,
2017-04-03 11:54, User076, Bank Account, generate n.1, success,
2017-04-03 11:54, User076, Bank Account, generate n.2, success,
2017-04-03 11:54, User076, Bank Account, generate n.3, success,
2017-04-03 11:54, User076, Bank Account, generate n.4, success,
2017-04-03 11:54, User076, Bank Account, generate n.5, success,
2017-04-03 11:54, User076, Bank Account, generate n.6, success,
2017-04-03 11:54, User076, Bank Account, save, success,
2017-04-03 11:54, User076, Bank Account, emoji clicked, success,
2017-04-03 11:54, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, submit password attempt #1, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #2, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #3, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #4, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #5, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #6, error,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, submit password attempt #7, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #8, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #9, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #10, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #11, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #12, error,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, emoji clicked, success,
2017-04-03 11:55, User076, Bank Account, submit password attempt #13, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #14, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #15, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #16, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #17, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #18, error,
2017-04-03 11:55, User076, Bank Account, submit password attempt #19, error,
2017-04-03 11:55, User076, Bank Account, skip round, error,
2017-04-03 11:55, User076, general, retest button clicked, success,
2017-04-03 11:55, User076, Bank Account (retest), skip round, failed,
2017-04-03 11:55, User076, Email (retest), skip round, failed,
2017-04-03 11:55, User076, Facebook (retest), skip round, failed,
2017-04-03 11:55, User076, general, simulation complete, success,
2017-04-03 11:55, User076, Simualtion Complete. (retest), skip round, failed,
2017-04-03 11:55, User076, Simualtion Complete. (retest), submit password attempt #1, error,
2017-04-03 11:55, User076, Simualtion Complete. (retest), submit password attempt #2, error,
2017-04-03 11:59, User045, Facebook, generate n.1, success,
2017-04-03 11:59, User045, Facebook, generate n.2, success,
2017-04-03 11:59, User045, Facebook, generate n.3, success,
2017-04-03 11:59, User045, Facebook, generate n.4, success,
2017-04-03 11:59, User045, Facebook, save, success,
2017-04-03 11:59, User045, Facebook, emoji clicked, success,
2017-04-03 11:59, User045, Facebook, emoji clicked, success,
2017-04-03 12:00, User045, Facebook, emoji clicked, success,
2017-04-03 12:00, User045, Facebook, emoji clicked, success,
2017-04-03 12:00, User045, Facebook, emoji clicked, success,
2017-04-03 12:00, User045, Facebook, emoji clicked, success,
2017-04-03 12:00, User045, Facebook, submit password attempt #1, error,
2017-04-03 12:00, User045, Facebook, submit password attempt #2, error,
2017-04-03 12:00, User045, Facebook, submit password attempt #3, error,
2017-04-03 12:00, User045, Facebook, delete char, error,
2017-04-03 12:00, User045, Facebook, skip round, error,
2017-04-03 12:00, User045, Email, generate n.1, success,
2017-04-03 12:00, User045, Email, save, success,
2017-04-03 12:00, User045, Email, emoji clicked, success,
2017-04-03 12:00, User045, Email, emoji clicked, success,
2017-04-03 12:00, User045, Email, emoji clicked, success,
2017-04-03 12:00, User045, Email, emoji clicked, success,
2017-04-03 12:00, User045, Email, emoji clicked, success,
2017-04-03 12:00, User045, Email, emoji clicked, success,
2017-04-03 12:00, User045, Email, submit password attempt #1, error,
2017-04-03 12:00, User045, Email, submit password attempt #2, error,
2017-04-03 12:00, User045, Email, submit password attempt #3, error,
2017-04-03 12:00, User045, Email, skip round, error,
2017-04-03 12:00, User045, Bank Account, generate n.1, success,
2017-04-03 12:01, User045, Bank Account, generate n.2, success,
2017-04-03 12:01, User045, Bank Account, generate n.3, success,
2017-04-03 12:01, User045, Bank Account, generate n.4, success,
2017-04-03 12:01, User045, Bank Account, save, success,
2017-04-03 12:01, User045, Bank Account, emoji clicked, success,
2017-04-03 12:01, User045, Bank Account, emoji clicked, success,
2017-04-03 12:01, User045, Bank Account, emoji clicked, success,
2017-04-03 12:04, User092, Facebook, generate n.1, success,
2017-04-03 12:04, User092, Facebook, generate n.2, success,
2017-04-03 12:05, User092, Facebook, save, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, submit password attempt #1, error,
2017-04-03 12:05, User092, Facebook, submit password attempt #2, error,
2017-04-03 12:05, User092, Facebook, submit password attempt #3, error,
2017-04-03 12:05, User092, Facebook, submit password attempt #4, error,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:05, User092, Facebook, emoji clicked, success,
2017-04-03 12:06, User092, Facebook, emoji clicked, success,
2017-04-03 12:06, User092, Facebook, submit password attempt #5, error,
2017-04-03 12:06, User092, Facebook, submit password attempt #6, error,
2017-04-03 12:06, User092, Facebook, submit password attempt #7, error,
2017-04-03 12:06, User092, Facebook, submit password attempt #8, error,
2017-04-03 12:06, User092, Facebook, emoji clicked, success,
2017-04-03 12:06, User092, Facebook, emoji clicked, success,
2017-04-03 12:06, User092, Facebook, emoji clicked, success,
2017-04-03 12:06, User092, Facebook, emoji clicked, success,
2017-04-03 12:06, User092, Facebook, emoji clicked, success,
2017-04-03 12:06, User092, Facebook, emoji clicked, success,
2017-04-03 12:06, User092, Facebook, submit password, success,
2017-04-03 12:06, User092, Facebook, submit password attempt #9, error,
2017-04-03 12:06, User092, Facebook, submit password attempt #10, error,
2017-04-03 12:06, User092, Facebook, submit password attempt #11, error,
2017-04-03 12:06, User092, Facebook, submit password attempt #12, error,
2017-04-03 12:06, User092, Facebook, submit password attempt #13, error,
2017-04-03 12:06, User092, Facebook, submit password attempt #14, error,
2017-04-03 12:06, User092, Facebook, next round, success,
2017-04-03 12:06, User092, Email, generate n.1, success,
2017-04-03 12:06, User092, Email, save, success,
2017-04-03 12:06, User092, Email, emoji clicked, success,
2017-04-03 12:07, User092, Email, emoji clicked, success,
2017-04-03 12:07, User092, Email, emoji clicked, success,
2017-04-03 12:07, User092, Email, emoji clicked, success,
2017-04-03 12:07, User092, Email, emoji clicked, success,
2017-04-03 12:07, User092, Email, emoji clicked, success,
2017-04-03 12:07, User092, Email, submit password, success,
2017-04-03 12:07, User092, Email, next round, success,
2017-04-03 12:07, User092, Bank Account, generate n.1, success,
2017-04-03 12:07, User092, Bank Account, save, success,
2017-04-03 12:07, User092, Bank Account, emoji clicked, success,
2017-04-03 12:07, User092, Bank Account, emoji clicked, success,
2017-04-03 12:07, User092, Bank Account, emoji clicked, success,
2017-04-03 12:07, User092, Bank Account, emoji clicked, success,
2017-04-03 12:07, User092, Bank Account, emoji clicked, success,
2017-04-03 12:07, User092, Bank Account, emoji clicked, success,
2017-04-03 12:07, User092, Bank Account, submit password, success,
2017-04-03 12:07, User092, Bank Account, next round, success,
2017-04-03 12:07, User092, general, retest button clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), submit password attempt #1, error,
2017-04-03 12:08, User092, Bank Account (retest), submit password attempt #2, error,
2017-04-03 12:08, User092, Bank Account (retest), submit password attempt #3, error,
2017-04-03 12:08, User092, Bank Account (retest), submit password attempt #4, error,
2017-04-03 12:08, User092, Bank Account (retest), submit password attempt #5, error,
2017-04-03 12:08, User092, Bank Account (retest), submit password attempt #6, error,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), emoji clicked, success,
2017-04-03 12:08, User092, Bank Account (retest), submit password, success,
2017-04-03 12:08, User092, Email (retest), emoji clicked, success,
2017-04-03 12:08, User092, Email (retest), emoji clicked, success,
2017-04-03 12:08, User092, Email (retest), emoji clicked, success,
2017-04-03 12:08, User092, Email (retest), emoji clicked, success,
2017-04-03 12:08, User092, Email (retest), emoji clicked, success,
2017-04-03 12:08, User092, Email (retest), emoji clicked, success,
2017-04-03 12:08, User092, Email (retest), submit password, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), submit password attempt #7, error,
2017-04-03 12:09, User092, Facebook (retest), submit password attempt #8, error,
2017-04-03 12:09, User092, Facebook (retest), submit password attempt #9, error,
2017-04-03 12:09, User092, Facebook (retest), submit password attempt #10, error,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), submit password attempt #11, error,
2017-04-03 12:09, User092, Facebook (retest), submit password attempt #12, error,
2017-04-03 12:09, User092, Facebook (retest), submit password attempt #13, error,
2017-04-03 12:09, User092, Facebook (retest), submit password attempt #14, error,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:09, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:10, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:10, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:10, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:10, User092, Facebook (retest), emoji clicked, success,
2017-04-03 12:10, User092, Facebook (retest), submit password attempt #15, error,
2017-04-03 12:10, User092, Facebook (retest), submit password attempt #16, error,
2017-04-03 12:10, User092, Facebook (retest), submit password attempt #17, error,
2017-04-03 12:10, User092, Facebook (retest), submit password attempt #18, error,
2017-04-03 12:12, User058, Facebook, generate n.1, success,
2017-04-03 12:12, User058, Facebook, generate n.2, success,
2017-04-03 12:12, User058, Facebook, generate n.3, success,
2017-04-03 12:12, User058, Facebook, generate n.4, success,
2017-04-03 12:12, User058, Facebook, generate n.5, success,
2017-04-03 12:13, User058, Facebook, save, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, submit password attempt #1, error,
2017-04-03 12:13, User058, Facebook, deleter char, success,
2017-04-03 12:13, User058, Facebook, deleter char, success,
2017-04-03 12:13, User058, Facebook, deleter char, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, emoji clicked, success,
2017-04-03 12:13, User058, Facebook, submit password, success,
2017-04-03 12:13, User058, Facebook, next round, success,
2017-04-03 12:13, User058, Email, generate n.1, success,
2017-04-03 12:13, User058, Email, generate n.2, success,
2017-04-03 12:13, User058, Email, generate n.3, success,
2017-04-03 12:13, User058, Email, generate n.4, success,
2017-04-03 12:13, User058, Email, generate n.5, success,
2017-04-03 12:14, User058, Email, save, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, submit password, success,
2017-04-03 12:14, User058, Email, submit password attempt #1, error,
2017-04-03 12:14, User058, Email, submit password attempt #2, error,
2017-04-03 12:14, User058, Email, submit password attempt #3, error,
2017-04-03 12:14, User058, Email, submit password attempt #4, error,
2017-04-03 12:14, User058, Email, submit password attempt #5, error,
2017-04-03 12:14, User058, Email, submit password attempt #6, error,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, emoji clicked, success,
2017-04-03 12:14, User058, Email, submit password, success,
2017-04-03 12:14, User058, Email, next round, success,
2017-04-03 12:14, User058, Bank Account, generate n.1, success,
2017-04-03 12:14, User058, Bank Account, generate n.2, success,
2017-04-03 12:15, User058, Bank Account, save, success,
2017-04-03 12:15, User058, Bank Account, emoji clicked, success,
2017-04-03 12:15, User058, Bank Account, emoji clicked, success,
2017-04-03 12:15, User058, Bank Account, emoji clicked, success,
2017-04-03 12:15, User058, Bank Account, emoji clicked, success,
2017-04-03 12:15, User058, Bank Account, emoji clicked, success,
2017-04-03 12:15, User058, Bank Account, submit password attempt #1, error,
2017-04-03 12:15, User058, Bank Account, emoji clicked, success,
2017-04-03 12:15, User058, Bank Account, submit password attempt #2, error,
2017-04-03 12:15, User058, Bank Account, submit password attempt #3, error,
2017-04-03 12:15, User058, Bank Account, submit password attempt #4, error,
